Id;Info;Author;Text;NO1;NO2;NO3;Emotion
5834;26;grymas50;Już nic nie rozumiem. Czy te nasze NIEZAWISŁE nie powinny " ZAWISNE ? ". Przecież to nasze "sadownictwo" nie jest w stanie skazać żadnej mocno politycznej czy tez bogatej osoby. LĘK, MIERNOTA, i ta cholerna NIEZAWISłOŚĆ. Gdyby ona była dziewiczo czysta. JEST UPAPRANA.;grymas50;;;-1
5835;26;ilpadrino666;new-arch.rp.pl/artykul/656360_Macierewicz_kontra_Agora.htmlwww.polskieradio.pl/5/3/Artykul/276989,Macierewicz-nie-musi-przepraszac-ITINo tu jest o takich innych procesach. Nie bronię MAcierewicza jest niepokolei często - ale....;ilpadrino666;;;0
5836;26;prawda_1_tylko_prawda;Pewnie będzie to już trzeci tuzin wygranych procesów sądowych przez posła A. Macierewicza jak dotąd do zera. Skutecznie uciera nosa tym wszystkim "ważniakom" z WSI & Co ujawniając ich przestępczą i antypolską działalność. Gratulacje z całego serca.;prawda_1_tylko_prawda;;;0
5837;26;krzysiek2011;Antek ale z Sądem Ostatecznym Nie Wygrasz !!!!!!!!!!!!;krzysiek2011;;;0
5838;26;adampalmer;aha,jedziemy po gosciu ktory mial racje co do bandyckiego procederu za nasze pieniedza,ekstra,niech zyje polska,jezusa by tu powiesili gdyby z miejsca nie wyrazil swojego poparcia dla POpolityka to nie pilka nozna glupi polacy (opowiedziec sie po jednej stronie i wyzywac druga), tu chodzi o wasze sprawy i pieniadze, pilkarze ktorym kibicujecie moze i wygraja,moze nawet zrobia to w widowiskowym stylu, ale kase za zwyciestwo biora oni,a wam zostaje w dloni tylko rachunek za bilet,zacznijcie stawac po swojej stronie,nie po stronie walczacych druzyn bez wzgledu na prawde;adampalmer;;;0
5839;26;janow5;Szacun dla Antoniego Macierewicza.;janow5;;;0
5840;26;fakiba;Czy ci zadowoleni z wyroku nie doczytali że jest on nieprawomocny;fakiba;;;0
5841;26;last.man.standing;★★★★★ Antek to prawdziwy killer lemingów.;last.man.standing;;;-2
5842;26;makrelas;Antek nie przegrał ani jednego procesu.;makrelas;;;0
5843;26;czerwoneoczykoguta;heh, szanowne pisiory, nie umiecie czytać? przecież jest napisane, że macior nie musi przepraszać bondaryka za "kryminalną sytuację", a nie że bondyrak ukradł coś czy coś tam, i toże zimny kurdupel miał zastrzeżenia tez nic nie wnosi, jakoś do Kryżego nie miał... no ale to był kolega z sądu prl, więc swój chłop...to przykre, że wolacy nie potrafią czytać ze zrozumieniem, widać muszą istnieć specjalne media dla nich:)) hehe;czerwoneoczykoguta;;;-1
5844;26;czerwoneoczykoguta;kolejny sukces antka! brawo macierewicz, musisz to oblać z anką.;czerwoneoczykoguta;;;1
5845;26;obywateleu;Mój sąsiad ma żółte papiery i jak kogoś obrazi też nie musi przepraszać, to normalne w polsce, tacy ludzie mają łatwiej;obywateleu;;;0
5846;26;czarny_walc;Macierewicz to gość! z TVN-em również wygrał, stwierdził, że stację Waltera założyły służby specjalne. Z Bondyrakiem to była jeszcze inna sprawa. Brał kasę z PTC za to, że nie zdradzi tajemnic firmy a jednocześnie był szefem tajnej służby. Czyli PTC była nie do ruszenia przez ABW.;czarny_walc;;;0
5847;26;prawdziwy-moher;Ale POstkomuchy przegrywaja.Kazda sprawe Macierewicz wygrywa.I mowia o tym nawet sady PO.Szef ABW powinien podac sie natychmiast do dymisji.Byl zlodziejem , jak kazdy, w PO.;prawdziwy-moher;;;-2
5848;26;o.beyzyma;Kownacki - jeśli dobrze pamiętam - pracując w Kancelarii Prezydenta Lecha Kaczyńskiego też pobierał odprawę z Orlenu...;o.beyzyma;;;-1
5849;26;brolend10;brawo maciar HAHA wygrałeś w sądzie, a wygrać w sądzie to jest jak w lotto :D;brolend10;;;1
5850;26;abhaod;"Sprawa Ery była jednym z zastrzeżeń, które prezydent Lech Kaczyński podnosił wobec kandydatury Bondaryka na szefa ABW po wygraniu wyborów w 2007 r. przez PO. Ostatecznie Tusk powołał Bondaryka".Czyli bondaryk to swój chłop...tv.rp.pl/video/Cafe-Rz,Wydarzenia,Kraj,Publicystyka/Dwa-dni-bez-PiS-Cafe-Rzeczpospolita;abhaod;;;-1
5851;26;piotr110660;Bondaryk, o czym warto pamiętać został mianowany szefem ABW bez uprzedniego stanowiska Prezydenta.;piotr110660;;;0
5852;26;krzysztofk60;Pan Maciarewicz ma prawo do swojej opinii.Ja też .Jest człowiekiem pozbawionym skrupułów Dla zaspokojenia swoich chorych ambicji jest gotowy do rzeczy najgorszych .Opętany nienawiścią szarga wszelkie świętości mieniąc się przy tym patriotom.ZAPRZANIEC;krzysztofk60;;;-1
5853;26;snellville;;snellville;;;0
5854;26;waldi_46;Arabowie nie lepsi u nas też się zakotłuje bo to co wyprawiają elity polityczne jest nie do wytrzymania~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~koltun;waldi_46;;;-1
5855;26;300zlotych;Zadny sad nie skaze swira.Do Tworek z nim!!!;300zlotych;;;-3
5856;26;snellville;jeszcze nie widzialem pisiora nieokradzionegoco za zgraja idiotow?dobrodziej was okrada przez caly rok a po smierci za skorkeosol ma wiecej rozumu nizli wy byla klaso robotniczazapomnial jeden z drugim jak gwozdzie z zakladu w kieszeniach wynosil?;snellville;;;-1
5857;26;pamparampapam;Maciorowicza nie skaże żaden sąd. Każdy psychiatra da mu alibi...;pamparampapam;;;-2
5858;26;prawdziwy-moher;Czyli?Obecny szef ABW-PO , pobiera kase.,lamiac prawo.Zreszta jak kazdy z PO.;prawdziwy-moher;;;0
5859;26;rabinpedofil;ha ha ha, Macierewicz wygrał już chyba kilkanaście procesów.Ale mam z was, giewu, polewkę:D;rabinpedofil;;;0
5860;26;waldi_46;Arabowie nie lepsi u nas też się zakotłuje bo to co wyprawiają elity polityczne jest nie do wytrzymania .;waldi_46;;;0
5861;26;vomitorium1;dziwię sięże stanął przed sądem(to znęcanie sięnad chorym człowiekiem);vomitorium1;;;-2
5862;26;snellville;;snellville;;;0
5863;26;orto.doks;POpaprańcy to zdrajcy ! :)))````````````````````````````````````````````````````````````````````````````````````````````````jestem pewien ze twoja baba cie zdradzilazapytaj sie .jesli bedzie klamac to z liscia;orto.doks;;;-1
5864;26;defnajt;O Boże to Gazeta Wyborcza zamieszcza coś co świadczy na korzyść Macierewicza?!Rzeczywiście, coś się dzieje, albo wam odj*bało;defnajt;;;0
5865;26;ambl;Jakiś taki bezcynglowy ten artykuł.;ambl;;;0
5866;26;ludpracujacy;Tunezja , Egipt , Libia dają przykład jak postępować ze złodziejami .Ale gdzie nam do Arabów .;ludpracujacy;;;-2
5867;26;snellville;przepraszam za wszystkich i za wszystoprzepraszam siebiesad tez przepraszampolske przepraszam za to ze sie lubimy przepraszacza przeproszeniem ....ktora godzina?;snellville;;;0
5868;26;mieszaniec-zopola;O ile uważam, że Macierwicz powinien odpowiedać za swoje pomówienie, o tyle w tej sprawie muszę niestety podzielić jego zdanie. Moim zaś zdaniem największą odpowiedzialność ponosi premier, że daje zatrudnienie ludziom na tyle nieuczciwym, że potrafią się nawet przyznać do swoich dochodów. NIestety Panie Donald Tusk. Jesteś Pan w tym względzie beznadziejny. Pisałem do Pana, żeby Pan wyrzucił na zbity pysk Miodowicza, który wyeliminował Pańskiego konkurenta do fotela prezydenta RP chwyatjąc się brudnej prowokacji. Pan tego nie zrobił, a Miodowicza nagrodził Pan miejscem na liście PO, skutkiem czego ten zły człowiek znalazł się w Sejmie i dalej żyje na koszta pństewa.Pozatrudniał Pan też cały korowód innych niegodsnych postaci.Gdyby był Pan człowiekiem honoru, to dawno złożyłby Pan urząd. Ale co tu mówić do człowieka, który kierując się konformizmem zawiera kościelny ślub. Czy wy politycy macie jeszcze jakąś moralność?;mieszaniec-zopola;;;0
5869;26;dragon52;niech antek w ogóle przeprosi że żyje )-:D;dragon52;;;0
5870;26;angrusz1;Kolejny proces wygrany przez Antka .Coś WSIacy nie mają szczęścia;angrusz1;;;0
5871;26;koballt;Gdyby nie niezawisłe sądy reżim już by wsadził tego Macierewicza, co?;koballt;;;0
5872;27;pisdode;Czy można sie dziwić? Przecież Tusk to ideologia KLD czyli dezercja z wszystkiego, co polskie. Polskie to fe a wszystko , co obce to cacy - świat wg Tuska i kolegów.;pisdode;;;0
5873;27;szama3;chciałbyś durniu jak w Egipcie?;szama3;;;-2
5874;27;kubulek51;Kaczorek Jaruś został naszą fatalną marką na zawsze.NIESTETY.;kubulek51;;;-2
5875;27;chi_neng1;Megalomania i tupet tej rodziny nie ma granic. Znieslawili, zhanbili i nadal to robia, imie Polski w swiecie i maja czelnosc dyskutowac "marke" Polski ! Co to jest "marka" w porownaniu z imeniem Polski, coscie zmieszali z blotem ?DLACZEGO NIE DYSKUTUJESZ W ZAMIAN, DYREKTORZE, SWOJEGO NOWOPOWSTALEGO CYRKU SMOLENSKIEGO ???Premier Tusk "dezerterem" - Mosci panie : LECZ SIE !!!;chi_neng1;;;0
5876;27;maaac;@elzbieta09Bzdury pisze. Wielokroć już pisano dlaczego takie tezy, ktore stawia kadruaw to bzdury ale jak zauważył archimago7 on się wyjasnieniami jak faktami nie przejmuje i dalej je wlepia.Co do śmiechu - powstanie PJN nie dało pani nic do myślenia w ocenie działań i wiarygodności Jarosława Kaczyńskiego?;maaac;;;-1
5877;27;adamdark01;Jarosław Kaczyński, mała postać ludzka, a tak wielki idiota, tylko idioci mogą iść za nim.jego wypowiedzi i wymysły są obrzydliwe do słuchania,wszystko co robią inni to dla niegojest złem,tylko to co on mówi jest dla niego ważne, KRETYN.pozdrawiam przyjacióładamdark.;adamdark01;;;-2
5878;27;o_laf;HETMAN 66,,,,,,,,,,Gdzie zielona wyspa ?,gdzie są cuda premiera Tuska?W tym samym miejscu gdzie kaczynski postawil 3,000,000 mieszkan....,-)))));o_laf;;;-1
5879;27;marylana102;Panie Jaroslawie! Czy pan bedzie dlugo jeszcze jatrzyl. Czas zabrac sie do uczciwej pracya nie paplaniem i permanentnym podburzaniem ludzi przeciwko obecnemu Rzadowi.Dziwie sie rzadzacym,ze na pana postepowanie tak slabo reaguja,a w ogole,ze nie poloza temu kres.To,co pan wyczynia przekracza wszelkie granice!!!;marylana102;;;0
5880;27;archimago7;pani Elżbietokadruaw wkleja bez przerwy te same komentarze i jest niestetyzwykłym pisowskim trollem. Czyli antypolską dywersyjną kanalią.;archimago7;;;-1
5881;27;elzbieta09;@kadruawPiszesz mądrze. Nie czytają (może pierwsze zdania tylko) i stawiaja minusy. Przypomnialo mi to Wesele Wyspiańskiego. Głosów rozsadku nikt nie slucha. Wszyscy sie bawia i plota trzy po trzy, albo jeszcze gorzej. Obudza sie (może?), gdy uslyszą chichot chochoła i pustkę wokół.Myśle, że powyższego tekstu też nie zrozumieja i dadza minusy. Ten o śmiechu chochoła ostatnio zamilkł. Zbiera siły? Chochół w ogrodzie... i chichot,,, i Titanic;elzbieta09;;;0
5882;27;archimago7;Nasi piloci przez fatalną pomyłkę i pech, rozwalili samolot o dołek (zamiast jak to bywa zwykle w lotnictwie, o górę ).Zamiast przyjąć to i zamknąć się, PiS i jego kretyński przywódca, robią wszystko aby w pełnirozpropagować polski zamachowy kretynizm na cały świat."Nie mamy dostępu do dowodów, do wraku, do wyników sekcji zwłok "-powiedział prezio.A jakie mu dowody potrzebne...zapisy czarnych skrzynek dostaliśmy, wyniki sekcji dostaliśmy i natychmiast rodziny poprosiły o skasowanie opisu tej mielonki.A wrak to nam po cholerę... jako totem.. przedmiot kultu.. pomnik... tylko czego pomnik ?Pomnik polskiej marki ? Jeśli tak, to lepiej go dać na złom i zapomnieć.;archimago7;;;-1
5883;27;proch32;Narescie Jarus zabral sie do nauki jezykow obcych (bo polskiego i tak juz sie nie nauczy).Lepiej pozno niz wcale. Ale dlaczego wlasnie niemieckiego? Absmak... i marki...Chyba nie wie,ze w Niemczech od 10 lat waluta jest euro.A jezeli juz chodzi o pilotow - to lepiej zamknalby dziob. Wryc sie bombowcem w polanelesna ... by "zadowolic" gnoma braciszka i w dupie majac podstawowy obowiazek pilotaby dbac o bezpieczenstwo swoich pasazerow.A ten zyjacy jeszcze gnom wydusic chce z trupa pilota Tu-154 swoje brudne interesy polityczne.;proch32;;;-1
5884;27;apropag;Jaka , markę reprezentuje Pan Kaczyński? . Jako Polak chciałbym rozliczyc tego Pana z moich pieniedzy podatnika ktore zostaly wydane na ta "kreaturę" erotyczno-polityczna.Jego wystapienia sa zenujace ,samokrytyki ten facilmente nie zna ? Jeszcze Blog o kurcze blade na pewno nie będę czytał Szkoda czasu.;apropag;;;-1
5885;27;hetman66;Gdzie zielona wyspa ?,gdzie są cuda premiera Tuska?chciałbym by wszystkim rzyło się lepiej ale jak gdy wszystko drogie jest w sklepie.leczyć też się nie da znizsczy nas zaraza i bieda.To dopiero Polska marka.;hetman66;;;0
5886;27;i4y;Kaczyński to synonim marki polskiej - tej zlikwidowanej w 1924 roku! Tak jak marka w polskich finansach, tak preziopis jest rekordzistą inflacji zaufania w polskiej polityce.;i4y;;;-1
5887;27;300zlotych;Jarkacz,wez sie zajmij lepiej swoim blogiem,walnij piwko,strzep sobie przy jakims filmiku XXX i... od razu lepiej.;300zlotych;;;-1
5888;27;yamaha180;Czy szanowny Pan Jarosław, każdą wypowiedź, każdy ruch i każdy oddech Pana Tuska uważa za dezercje i obrazę polskich pilotów?!Ile można to wałkować?!DOŚĆ! to już jest nudne!@ted_imigrant - zgadzam się!;yamaha180;;;0
5889;27;yanfhowah;Najlepsza marka by byl Jarus Kaczynski,,,,,,nawet w glebokiej puszczy na tam-tamach,tybulcy by podawali informacjie o jego wystapieniach,Poniewaz nikt i nic tak ich by nie rozsmieszylo....,-))));yanfhowah;;;-1
5890;27;tadjan;jaruś jesteś głupitutkie, mściwe stworzenie... mówię to bez czytania i słuchania twoich złotych myśli, bo one mnie kompletnie nie obchodzą.... wzorem pisowskiej klempy.;tadjan;;;-2
5891;27;ted_imigrant;Marka to:1) Znaki, symbolea) Znakami markowymi Polski są:i. Godło Rzeczypospolitej Polskiejii. Hymn Narodowy Rzeczypospolitej PolskiejAd. i. Kaczka nie może obsr... Orła, choćby nie wiem jak o tym marzyła,Ad. ii. jeżeli marzeniem byłego pana i byłego premiera jest powrót z ziemi włoskiej do włoskiej (tak pan przecież zna słowa tego Hymnu), to dobrze! Z Berlussconim jak z dzieckiem. Alik znajdzie metresę, pan pewnie też (o płeć ne pytam, wszak założenie bloga wymaga tolerancyjności)2) Jakośća) przyznanie się "do "nieświadomości" w trakcie kampanii prezydenckiej, podyktowanej "braniem prochów" z powodu traumy jest szczerym wyznaniem, które podziwiam. Rzecz tylko w tym, że były premierze, był pan wtedy bardziej "inteligentny, ludzki, rozsądny i mądry). To jaki jest pana znak jakości "Q", "1", "2", "grzyb wie co", itdb) był pan premierem. I co? Wzrost gospodarczy, płace wyższe (nie dla wszystkich - pielęgniarki). Nadęty balonik w ogólnoświatowym rozwoju. Dziś, p. Lepper mówi panu publicznie: "Ja zostałem wicepremierem dzięki Kaczyńskiemu? Nie, to on dzięki mnie został premierem!" Smutne, kurczę, ale ma rację!3) Dodatki:Mogłem się pomylić, mógł pan myśleć o marce polskiej, tej sprzed bodajże maja1924 roku.Tęskni pan za nią. Ja nie!PS. Mówienie o dezercji Tuska jest też marzeniem. Niestety, ten Tusk nie jest ZA, ale PRZED panem. I to pan mu do d..y zagląda, a nie on panu.;ted_imigrant;;;-1
5892;27;1852m;Jarek sobie palnie w łeb jak się zorientuje że Donald też "KACZOR":);1852m;;;-1
5893;27;politol59;Markę polską to zniszczył PiS pod przemożnym przewodem swojego Prezesa. A propo bloga topowinien on pamiętać, że jedna jaskółka wiosny nie czyni.;politol59;;;0
5894;27;kibic_rudego;panie Kaczyński gdzie są te trzy miliony mieszkań ?;kibic_rudego;;;-2
5895;27;malwina.3;Najwieksza kompromitacja dla Polski jest PiS, ktory zionie nienawiscia do rzadu i wszystkich, ktorzy im nie przyklaskuja. W kilka minut po katastrofie wodz krzyczal, ze rzad ma krew na rekach! A od 10 miesiecy nic nie robi, tylko szuka dowodow zamachu, ktorego nie bylo.;malwina.3;;;0
5896;27;regina-teresa;Mysle, ze miec kaczynskiego jako prezesa Polskiej opozycji, to zagrozenie marki dla Polski.Co Oni mysla o nas Polakach, ze mamy takich opozycjonistow, jesli jeszcze widza (dobrze, ze nie rozumieja) Kempe i Jakubiak.Nic nie moze bardziej zagrozic naszej marce!!!!;regina-teresa;;;-1
5897;27;cree-is-me;"Dotrzeć do wspólnoty".. :))) Jakiś "świat według Garpa"? Pewnie równoległy, zwany tu i ówdzie Wolską. Jarek, daj se siana i idź na spóźnioną emeryturę, jestem nawet gotów zrzucić się na nią bylebyś raz na zawsze zszedł mi z oczu. I zabierz ze sobą to stado bezmyślnych przydupasów, od razu oczyścisz atmosferę ,P;cree-is-me;;;-1
5898;27;kos.1;Obrońca polskiej marki :)))) Nie dałbym mu nawet do prowadzenia szaletu miejskiego....pewnie i tak zamieniłby go w klub gejowski :))));kos.1;;;0
