Id;Text;Emotion
171170927;"Polska potrzebuje teraz także prawdziwej modernizacji armii, ale to zależy przede wszystkim od koniunktury, i wysokości wzrostu gospodarczego, \n\nNie dajmy szansy pisiorom na realizacje obietnic Dudy. Albo realizacja obietnic, albo wzrost gospodarczy. A wiecowe odzywki o \"bzdurach|\" niech takimi pozostana.";1
171170930;"Ciekawe, czy będzie ofensywa i powtórka z historii-dojdzie do Stalingradu i przegra z mrozem? Już się \"wielcy\" tego świata boją, a Pan Prezydent Putin myśli gdzie się schować przed \"prezydętem Kaczyńskim vel Du.a?!";-1
171170934;"Liczysz na podwyżkę w MOPSie ?";-1
171170953;"A na co ją zamienić?\nNa stetryczałą, starokawalerską gerontofilię PiS?";-1
171170961;"Ten pajac nie rozumie roli prezydenta. Żenujący fircyk ze swoimi wywodami.";-1
171170963;"Mówi z głowy... czyli z niczego a durnie wybałuszają gały i słuchają jak świnia grzmotu.";-1
171170971;"Głupek...";-1
171170203;"pani Pawlowicz uwaza, ze pan Duda tez...lubi dzieci?";-1
171170225;"Wieje trupem ?";-1
171170287;"Panie Komorowski ty się na prezydenta po prostu nie nadawałeś! Nie widziałeś tego człowieku?. Jesteś słaby intelektualnie, stary, oderwany już od codziennego życia w Polsce. Gdyby nie układ partyjny, śmiem powiedzieć, że może 5% to wszystko co Pańska osoba by uzyskała. Dobrzy władcy czasami się przebierali w łachy i wchodzili w tłum szarej masy, by wiedzieć, co oni naprawdę myślą ty mały człowieku Bronisławie Komorowski bez swojej gigantycznej armii ochroniarzy nie mogłeś nawet wyjść spokojnie żeby nie wywołać protestów na które zresztą reagowałeś agresją jak rynsztokowy menel i nienawiścią co nie przystoi głowie państwa, zamykałeś się przez to jak tchórz na ostatnich zamkniętych spotkaniach wyborczych dla ogółu Narodu. Zawierzył Pan jednak kupionym mediom, kupionym sondażom, bandzie klakierów i pasożytów z Pańskiego otoczenia. Trzeba słuchać i głowę mieć dookoła. Teraz za późno. Dzisiaj nawet media głównego ścieku w kraju i Twoi fałszywi przyjaciele już się od ciebie odwrócili! Cześć Bronisławie! Odchodzisz, jeżeli jeszcze masz resztki honoru i godności, nie upadnij tak nisko jak niegdyś Bolek Wałęsa, dzisiaj całkowity i moralny bankrut dla Polaków. zwiń\n17 minut temu\n| ocena: 75% Twój głos\n~Miszka T. : Jest co najmniej 50 powodów, aby w najbliższych wyborach parlamentarnych nie głosować na Platformę Obywatelską, PSL i nowoczesną PL - klona PO \n1) Afera taśmowa\n2) Afera hazardowa\n3) Afera wyciągowa\n4) Afera stadionowa\n5) Afera autostradowa\n6) Afera stoczniowa\n7) Afera AmberGold\n8) Afera Elewarru\n9) Afera z informatyzacją MSW\n10) Afera z budową gazoportu w Świnoujściu oraz dostawami gazu z Kataru\n11) Afera z budową elektrowni atomowej (od 5 lat trwa \"wybieranie\" jej lokalizacji, a kasa dla zarządów specjalnych spółek leci)\n12) Afera z opóźnieniem publikacji przez Rządowe Centrum Legislacji ustawy o rajach podatkowych\n13) Grabież Polakom połowy oszczędności emerytalnych zgromadzonych w OFE (153 mld zł)\n14) Wydłużenie obowiązku pracy (wieku emerytalnego) o 7 lat u kobiet i 2 lata u mężczyzn\n15) Rozrost biurokracji (sto tysięcy nowych etatów)\n16) Drastyczny wzrost zadłużenia kraju (z 530 mld zł do blisko 1 bln zł)\n17) Podniesienie VAT-u na wszystko\n18) Podwyższenie o 1/3 składki rentowej (ZUS) dla przedsiębiorców\n19) Zamrożenie na 8 lat kwoty wolnej od podatku, kwot uzyskania przychodu oraz progów podatkowych\n20) Podniesienie akcyzy na paliwo\n21) Likwidacja ulg podatkowych (budowlana, internetowa)\n22) Zmniejszenie o 1/3 zasiłku pogrzebowego\n23) Wprowadzenie nowego podatku paliwowego - tzw. opłaty zapasowej\n24) Nałożenie na Lasy Państwowe haraczu w postaci podatku od przychodu (a nie dochodu!)\n25) Prace nad wprowadzeniem podatku smartfonowego i tabletowego\n26) Prace nad wprowadzeniem podatku audiowizualnego\n27) Przyjęcie zabójczego dla polskiej gospodarki pakietu klimatycznego\n28) Zgoda na wprowadzenie do Polski GMO\n29) Przyjęcie ustawy o ograniczeniu dostępu obywateli do informacji publicznej\n30) Przyjęcie ustawy o ograniczeniu wolności zgromadzeń\n31) Przyjęcie ustawy o \"bratniej pomocy\" (tzw. ustawa 1066)\n32) Spuszczenie w sejmowym klozecie kilku milionów podpisów złożonych pod obywatelskimi inicjatywami referendalno-ustawodawczymi\n33) Utajnienie raportu o nieprawidłowościach w ZUS do jakich doszło w latach 2008 - 2013\n34) Próba nocnej zmiany Konstytucji RP, która umożliwiłaby sprzedaż Lasów Państwowych\n35) Doprowadzenie do tragicznego stanu publicznej służby zdrowia (czekanie po kilka lat na wizytę u lekarza specjalisty)\n36) Podpisanie z Rosją niekorzystnej umowy gazowej (najdroższy gaz w Europie)\n37) Blisko 3-letni paraliż legislacyjny w sprawie wydobywania gazu łupkowego\n38) Drenaż Funduszu Rezerwy Demograficznej\n39) Wyprzedaż majątku narodowego za ponad 65 mld zł (w tym spółek strategicznych takich jak Azoty Tarnów).\n40) Ograniczenie potencjału militarnego\n41) Brak przemyślanej i suwerennej polityki zagranicznej\n42) Wszechobecny nepotyzm i kolesiostwo (tysiące stanowisk opłacanych z publicznej kasy dla platformianych kolesi)\n43) Synekury dla nagranych kolesi\n44) Stopniowe wdrażanie tzw. ideologii gender, wprowadzanie jej „tylnymi drzwiami”\n45) Ignorowanie woli rodziców ws. możliwości wyboru wieku posyłania dzieci do szkół (6-latki)\n46) Ignorowanie obywatelskich inicjatyw, brak dialogu z narodem mimo szyldu „obywatelska”, mielenie podpisów Polaków itp.\n47) Bezmyślna zgoda na sprowadzenie do Polski obcych nam kulturowo, ubogich imigrantów z krajów islamskich, tym samym drastycznie zwiększając ryzyko zamachów terrorystycznych oraz zamieszek w Polsce\n48) Brak szacunku i cynizm wobec opozycyjnych partii i organizacji społecznych krytykujących władzę, używanie do tego celu mediów i celebrytów\n49) Niszczenie systemu edukacji w szkołach, ograniczanie lekcji historii, próba pisania jej na nowo\n50) Służalcza postawa wobec UE, skrajna ustępliwość i brak twardego negocjowania w PE";-1
171170387;"\"atmosfera jest równie podniosła jak w czasie gdy odwiedzano tutaj trumny po smoleńskie\"\ni coś w tym jest....";-1
171170403;"Czy pamiętacie jak był przyjmowany Prezydent Komorowski pięć lat temu? Jakoś osoby które w ostatnich wyborach głosowały na Komorowskiego nie zachowywały się wczoraj tak jak Ci którzy 5 lat temu nie głosowali na Komorowskiego .";-1
171170413;"DLACZEGO POSLANKA PAWLOWICZ CIAGLE MACHA WACHLARZEM CZYZBY COS SMIERDZIALO ?";-1
171170864;"BO JADLA GROCHOWE W LAWIE SEJMOWEJ";-1
171170896;"Pawłowicz szukaj pilnie lekarza.Wsparcie farmakologiczne by ci się przydało.Aha obiecałaś że znikniesz z polityki a tym samym z mediów.I co i nic.";-1
171170949;"I dzięki takim kabotyńskim wypowiedziom-prezydent Duda traci...\nŻe też nikt nie może uspokoić tego prymitywa w spódnicy";0
171171145;"Pawłowicz to typowa przedstawicielka pisu i jego elektoratu - nawiedzona sekciara z wypranym, moherowym mózgiem. I teraz juz tak bedzie! modły i latajace , piskliwe baby z krzyżami! ludzie do czego chcecie doprowadzić! jeszcze macie troche czasu na przemyslenia";-1
171171200;"Bije w dekiel nie tylko PISowskiej psiarni, bije wszystkim którzy w tym wyborze maczali palce. Wybór dudy to jak wybór Papieża. Paranoja, ale zawód będzie ogromny. Buczenie to pestka.";-1
171171254;"MA DOBRY WYDECH,ALE NIE MA KATALIZATORA";-1
171171321;"Jej na pewno by się oczyszczenie przydało, Nie wierzę aby było gruntowne i skuteczne. Ona jest niezmienialna.";0
171171409;"A JA LUBIE PSY ALE DLUGO SIE GOTUJA";0
171171495;"dziekuje warszawiakom i przyjezdnym za wczorajsze piekne przyjecie pana prezydenta i jego zony ,to bylo wspaniale !! Pawlowicz jak zwykle przesadza by denerwowac innych ,wiadomo ze robi to celowo .";1
171171664;"...nooo gdzieś te gazy po ciągłym konsumowaniu muszą uchodzić.... a bidula musi je od siebie rozpylić....";-1
171171669;"o tak atmosfera byla Przeczyszczajaca!!!";-1
171171685;"Jeszcze nikt nigdy nic nie strail ,ze sie pomodlil ,wspolczuje ci demoniczna istotko";1
171171819;"Takoż rzecze baba z magla.";-1
171171829;"Coś ci (mała litera) się kobito całkiem pomieszało w głowie, normalni ludzie żyją innymi problemami ( ciężko pracują )....tylko wy nieroby (posłowie PiS-u   i wasi .......) świętujecie....... chyba wam te upały zaszkodziły...Jak możesz kobieto porównywać to do wizyt Ojca Świętego....  zupełny odlot...";-1
171171867;"Od ciebie ? szykuj trumne bo nic nie wiadomo ,moze dzis ,moze za 10lat";-1
171171878;"Pani Pawłowicz nie zauważyła, że z tej \"wspólnoty\" wyalienowane jest 75 % Polaków. No ale to przecież wszyscy zdrajcy :(";0
171171982;"Przygłupiasta !!!";-1
171172021;"Hadko słuchać. Pani poseł..... niechże publicznie nie zabiera głosu, bo pośmiewisko raz za razem....";-1
171172079;"Musiało się jej mokro zrobić......................";-1
171172171;"Co ta baba mówi? .....Czy w tym PIS-ie to sami ,,wybrańcy losu,,...szkoda słów.";-1
171172371;"Co upał robi we łbie moherowców?";-1
171172430;"Niech się wreszcie jak najszybciej skończą te upały, bo poniektórzy jeszcze bardziej głupieją. To ze z Pawłowicz jest coś nie tak, to wiadomo już od dawna. Te żarcie w sejmie, ubliżanie dziennikarzom i....dużo by tu mówić. A porównywanie JP z Dudą? To naprawdę wariactwo. Chociaż? Skoro rządził Dziwisz, to i Kaczyński może....";-1
171172477;"\"Kasandra kaczyzmu\" czuje ten zapach ...";-1
171172487;"Macierewicza jeszcze dajcie i PIS leży...";-1
171172499;"Całe szczęście, że Duda nie jest muzułmaninem, bo pani Pawłowicz ogłosiłaby go prorokiem. Duda , owszem, robi dobre wrażenie, przynajmniej na początek, ale gdy się widzi nazwiska osób zasilajacych jego Gabinet, to optymizm spada o 90%. Przecież to są szerszenie, amerykańskie wtyłowłazy i psy wojny. Nie wiem, czy Dudzie uda sie uniezależnić od takich \"doradców\"";-1
171172601;"walnięta";-1
171172678;"Słuchajcie wszyscy albowiem odezwał się autorytet.Nie czekajcie końca kadencji,już teraz powołać ją na postulatora.";-1
171172683;"I chyba nikt nie buczał na Prezydenta??";0
171172781;"prezydent nie powinien uczestniczyć w uroczystościach religijnych ponieważ jest to faworyzowanie jednej religii a nie wszyscy w Polsce są katolikami i nie wszyscy są wierzący";0
171172921;"To prawda . \nJa ,moja rodzina i znajomi z radością oglądaliśmy  wystąpienia Prezydenta RP. Wzruszenie i radość wyciskały łzy z oczu. To był wielki dzień dla Polski porównywalny z wizytami OJCA ŚWIĘTEGO w OJCZYŻNIE.\n Szkoda,że POsłowie PO zachowali się PO chamsku jak paligłupy w sejmie, ale to POtwierdza tylko , kim oni są , do czego zdolni w eskalacji chamstwa.";1
171172994;"Msza św. w intencji prezydenta Dudy (ojczyzny) rozpoczęła się od owacji na stojąco. Tak biskupi powitali swojego człowieka na najwyższym stanowisku w państwie. „Kościół nie pragnie uczestniczyć w rządzeniu” – zażartował abp Gądecki. „Wierzymy” – zażartowali ateiści.\nCzekają nas ciekawe czasy...";0
171173031;"P.Pawłowicz odbiera wypowiedzi Prezydenta, jak srodek przeczyszczający, oby słuchała go jak najczęściej....";-1
171173093;"jak beda tak porównywać do koszernej sekty oby sie nie okazało iz duda woli panów jak kieckowi  ma swojego kapelana weż sie za robotę a po robocie na kolana przed Jahwe";-1
171173114;"Już po nogach Krysi leci. Ciekawe, czy poznała już inny stan ekstazy :D";-1
171173149;"Pawłowicz ty już nic nie mów...";-1
171173232;"Jak mozna dudka równać z. JPll????trzeba być nieukiem";-1
171173339;"Jak widzę i słyszę najwiekszą patriotkę pisowską poseł Arciszewską-Mielewczyk to mam odruch wymiotny. Gdzie ta kobieta ma twarz, honor??? Zastanawiam się kiedy ta obłudna posłanka spłaci kredyty w skoku zaciagniete przez jej męża. Czy ciemny lud będzie spłacał jej zadłuzenia????";-1
171173402;"Jak to nie? Jak raz Mieszko się pomodlił, to do dziś Polska traci grube miliardy zł i setki tysięcy hektarów ziem!";-1
171173486;"To właśnie przykład bezmózgowców";-1
171173565;"Pochwały z ust pani Pawłowicz, panu prezydentowi zaszczytu nie przynoszą. Nie ważne, że nas chwalą, ważne  kto to robi. Pani Pawłowicz ma ugruntowaną opinię jako człowiek, kobieta i poseł. Jeżeli pan prezydent, będzie na prawdę jednoczył wszystkich polaków, to \"pomoc\" pani Pawłowicz będzie dla niego ciężarem. Ale prawdopodobnie to będzie tylko ich prezydent i nie pozwolą mu, by było inaczej. Mają swojego Rydzyka, mają swój zamach smoleński, swojego prezydenta, też nie oddadzą.";0
171173637;"Tzn. jakie? Bo na mnie ani tamte szopy ani ta wczorajsza nie zrobiły żadnego wrażenia.";-1
171173643;"To prawda. Duda przynajmniej nie chroni pedofilów";1
171173722;"Azata osoba mnie przer";-1
171173991;"Szczytowała?";-1
171174281;"najwyraźniej temu babochłopowi pod nazwą PAWŁOWICZ - upał wysuszył zwoje mózgowe.  \"Pięknej inaczej\" - niejakiej/niejakiemu??? po wyglądzie - Mieleńczyk bodajże, ta od pierza - też przydałoby się spojrzenie w lustro. UWAŻNE spojrzenie...";-1
171174341;"Ta kobiete powinni zamknac w zakladzie psychiatrycznym!";-1
171174358;".....geniusz jej głupoty  ją już przerósł ...zrobią kupę i modlą się do niej ...bez jaja pisior jak by nie przyszedł na ten wiedz to by otrzymał kartę pieniężna";-1
171174442;"A ten mistrz drugiego planu to pewnie wielce inteligentny wyborca tego Dudy ,ha,ha";0
171174459;"No cóż:( Cnota pani\"profesor\"na jej mózg naciska.....";-1
171174582;"...na razie";-1
171174598;"Masz rację, ale nad tym wszystkim trochę się zastanawiałam. Właściwie sytuacja będzie taka, że rząd zostanie osądzony od czci i wiary bo nie będzie chciał realizować \"cudownych obietnic\"  Strażnika Baldachimu.\nCzy nie lepiej dać im pole manewru, a gwarantuję że pod koniec kadencji ich poparcie będzie na poziomie zera, bo tego to nawet najgorliwsi pisowcy.\nOczywiście, że będzie to ze szkodą dla Polaków, ale znieśliśmy zabory, dwie wojny i pół wieku ruskich na karku, zniesiemy i to, ale przynajmniej ta lewacka propaganda się wreszcie zakończy.\nZastanów się nad tym.";-1
171174628;"Pani Pawłowicz, na oczyszczenie proponuję środek łagodnie przeczyszczający, taki co przeczyści nie przerywając snu.";-1
171149922;"Twojego końca prymitywie";-1
171149933;"Nakarm rodzine w oborniku slugusie smrodzie";-1
171149934;"....bo przeważnie są niedouczeni";0
171149936;"Wierszyk jest swietny ziomku.\nA jak bedzie, czas pokaze ...";1
171149944;"Prawdopodobnie nic nie robisz.Żyjesz na koszt swoich rodziców.Ludzie wyjechali bo nie chcieli tu klepać biedy.Grzechem rządzących było to, że nie potrafili zapewnić młodym ludziom  z wyżu demograficznego lat osiemdziesiątych zapewnić jakiegokolwiek startu w życie dorosłe.Jadę teraz do Irlandii tam żyją moi najbliżsi. Bardzo dobre się mają.";0
171149945;"Koniec 8Lat nierządu politycznych dziwek";-1
171149948;"Myslisz że chwalebniejsze jest mieć dziadka nazwiskiem Osip Szczynukowicz";-1
171149951;"Zajadła watacha warczy na nowego prezydenta,obowiązkowe szczepienia na wściekliznę!";-1
171149957;"Właśnie wymieniłeś same zalety. Niestety poprzedni miał tylko dziadka - Osip Szczynukowicz. Niektórym to wystarczyło.";-1
171149974;"Poluzuj majty, bo ci żyłka pierdnie..";-1
171149977;"Umyj sie,smiedzisz to ci wstyd konusie,zamknij jape";-1
171149988;"Jutro przyjda po ciebie";0
171149993;"Jakie  zalety, powiązania rodzinne to niby zalety? Od kiedy to dziadka można sobie wybierać, takiego miał jakiego miał, ani jego wina ani jego zaleta.";0
171149994;"I nie dziwi że pokemony przegrywają. Z takimi argumentami.";-1
171150001;"no w koncu mamy Polaka Prezydentem uff 25 lat Polska na to czekala";1
171150008;"Uchwyciles sedno sprawy.\nInna rzecz, ze w Polsce ladne lico zawsze bylo niezbednym rekwizytem sukcesu. Podobnie jak  modne ciuchy,i najnowsze gadzety.";1
171150015;"Homosowieticus,fajfusy";-1
171150023;"Czy ktoś amnestię w szpitalach psychiatrycznych ogłosił, że tyle was PiS-ioko solidaruchów znowu zatruwa normalnym ludziom życie.";-1
171150026;"Pragnę powiadomić iz z dniem 6 Sierpnia 2015 watacha popsl młodzieżowa presio i inne jaszczury,nie podlegają ochronie,polowania czas rozpocząć!";-1
171150034;"Tak tak, znajomość \"\"języku\" bardzo się przydaje....";-1
171150036;"Saru";0
171150038;"No i czego można spodziewać sie po wyborcy pokemonów.";0
171150047;"Wszyscy poprzedni to żenada,kwachu pseudo magister cos tam bełkotał po angielsku,tumoki";0
171150050;"trzeba takze moze doniesc o  skakaniu  tego zwiazkowego Dudy obok Szydlo i innych pisowcow.";0
171150051;"Wlada czterema jezykami  lacznie z oficjalnym  ale zadnym  poprawnie.";-1
171150057;"Bliskie prawdy? Ten podły, nędzny  poecina napisał , że Duda da 8000 zł, a Duda mówił o zwiększeniu kwoty wolnej do 8000  zł, czyli Duda proponuje zwiększyć kwotę wolną o 4909 zł, a nie dać 8000 zł, jak łże ten podły mały człowieczek.o mentalności niewolnika.";0
171150059;"Przez,25lat nie oddamy władzy Polska stanie sie w końcu państwem prawa i sprawiedliwości społecznej";1
171150062;"Wymienłeś jakie ma wykształłcenie, jakie jego rodzice. Pisząc o tym, że łatwo się dostac na UJ na prawo i jeszcze je ukończyć minąłeś się z prawdą. Jeżeli sugerujesz że po znajomości to zdobył to daj jakiś dowód. Na razie są to wymysły mające na celu obrażanie.";1
171150066;"Weszlismy do UE, ale w dalszym ciągu jesteśmy jednym wielkim skansenem, aż wstd. Poraża małostkowośćPolaków, tego, żenie widzimy dalej końca swojego nosa. Obecny prezydent jest tylko kolejnym prezydentem, tym bardziej ,żeobecne wybory pokaza,ly dewaluacj,,,,,e tego najważniejszego stanowiska w Polsce. A jakim będzie obecnie nam urzędujący prezydent, to się okaże. Mam nadzieję, że ta prezydentura nie stanie się głównie bogoojczyźniana, botego wielu już nie zniesie. Poza tym życzę nowemu prezydentowi właściwych decyzji(nie tylko tych populistycznych)i błagam nie zbłaźnijmy się jako kraj przed innymi .";0
171150082;"Pan Duda mowil ze bedzie prezydentem WSZYSTKICH Polakow i co nam serwuje? MODLITWY w Belwederze kapliczka krzyze postawiony przed palacem BOOOOOOOOOOOZEEEEEEEEEEE przeciez wielu ludzi ktorzy nie sa katolikami glosowalo tez na Dude i jak sie oni teraz czuja????? tak samo krzyze w Sejmie z jakiej racji???? coraz mniej polakow jest katolikow! (na szczescie) nei chcemy kolejnego slugasa ksiezy, amerykanow, zydow niemcow itd etc chcemy takie ktory bedzie sluzył nam POLAKOM!!! niech se ma krzyze u siebie w ogrodzie swojej willli i niech sie modli tam nawet cale dnie ale nie w belwederze! PIS trzyma sztame z KK bo wie ze oni im urabiaja ludzi!! mam dosc tych wszystkich partii od roku 89!!";0
171150087;"A głucha pani Śledzińska (od śledzenia) powinna kupić sobie aparat słuchowy";-1
171150093;"Źle rozumiesz słowo \"żydowska\" na polskim forum. Od dawna nie ma ono nic wspólnego z Żydami. Więc nie oczekuj sensownych odpowiedzi.";-1
171150115;"najlepiej zorganizuj bojówkę i na polowanieeeee . Idź się leczyć!!!!!!";-1
171150116;"teraz Duda udaje wielkiego pro-polaka bo zalezy mu zeby PIS wygral miazdzaca wybory parlamentarne! zobaczycie co bedzie sie dzialo od nowego roku jak beda miec wladze absolutna beda takie same walki robic jak PO! duda skonczy sie pro-polski tylko bedzie pro-zydowski chanuka zbowu w Belwederze bedzie zapalana!";-1
171150124;"To wiem a obecny? (były dla mnie taki sam jak ten to znaczy NIKT)";-1
171150130;"Panie Duda niech Pan nie zapomina jakim procentem glosow wygral Pan te wybory.";1
171150133;"zeby sie leczyc to trzeba czekac kilka lat zeby sie dostac do specjalisty! to nam zaserwowal twoj obóz!";-1
171150141;"Chyba Cie nie lubię, ale napisz jeszcze coś żeby Ci sie lepiej spalo.";1
171150145;"A czego wymagać id tłumoków Gazety Wyborczej, NIE Urbana i oglądaczy TVN o mentalności niewolników?";-1
171150152;"U po sledzinska pijaczka,na,odwyk";-1
171150165;"Odróżniasz prawo od prawa administracyjnego?";1
171150169;"KONIEC UKŁADU ZAMKNIĘTEGO";-1
171150171;"niby ską wiesz, który obóz jest mój. Pozdrawiam i życzę trochę dystansu.";1
171150173;"jezyki obce pana preziego:  niemiecki, austriacki, szwajcarski, luxemburski, no dajmy mu jeszcze belgijski i lichtensteinu- to bedzie 6, a z polskim to i 7 , brawo her doctor !";-1
171150179;"Rozsądku, krytycznego myślenia, odwagi w sprzeciwie wobec własnego środowiska. Na przykład.";1
171150195;"I dlaczego uważasz, że ci obywatele mają mentalność niewolników?";1
171150204;"OK. tylko czy znajomość Europy ograniczona do jednej (odseparowanej) dzielnicy Rzymu wystarczy?";1
171150211;"Szkoda że nie mogłam być dzisiaj w Warszawie. Ucałowałabym bardzo chętnie odchodzącego Prezydenta Komorowskiego. Wystarczy jedno spojrzenie na internet żeby zrozumieć jakimi sposobami PIS dochodzi do władzy.06.08.2015 skończyła się w Polsce demokracja.";1
171150216;"Mainstream robi ja ja i będzie robił na szczęście jest rok 2015 nie 2005 .) Dziś ludzie nie słuchają Mainsteram. Dziś ludzie sprawdzają i prowadzą własne śledztwa w tej sprawie co pisze i mówi Mainstream .)";1
171150225;"Generalnie , nie chodzi w ilu językach się COŚ mówi tylko co się ma do powiedzenia.\nI to jest zasadnicza różnica!";1
171150231;"Oczywiście anonimowo można napisać wszystko o wszystkich. Może podaj swoje dokładne dane z PESELEM i wtedy obrzucaj innych błotem.To, co robisz, to zwykłe tchorzostwo!!";1
171150236;"Witam wszystkich. \nObserwowalem kampanię z boku a dokladnie z Niemiec. Nie jestem zwolennikiem zadnej z partii ktore walcza o to kto ma teraz prawo przejadac pieniadze podatnikow. Kampania oczywiscie pelna niespodzianek jak rowniez wpadek ale wygral prof. Duda. Teraz tylko pytanie czy obietnice sa realne? \n1,WIEK EMERYTALNY- Zaden kraj w europie nie mial tak dlugo przywilejow dla pewnych grup pracowniczych i do tego takich odpraw. np w niemczech policjant moze isc na emeryture po 30 latach pracy ale dostanie 60% miesiecznie z ostatnich 12 miesiecy sredniej placy ale nie mniej niz 786€\n2-Podczas likwidacji kopalni nie bylo zadnych odpraw tylko propozycje przekwalifikowania z mozliwoscia otrzymania kredytu na rozpoczecie dzialalnosci ktory zaczynalo sie splacac po 24miesiacach od dnia rozpoczecia dzialalnosci. \n3-Kosciol jest utrzymywany z podatkow (bez wzfledu na wyznanie) i zaleznie od tego ilu jest parafian tyle otrzymuje dany kosciol. Pieniadze z \"TACY\" sa liczone przez dwoch czlonkow rady parafialnej i zapisywane jako przychod w ksiazce kasowej i z tego jest odprowadzany podatek. wszystkie swiadczenia ksieza lub pastorowie maja placone przez ubezpieczalnie na ktora wplacali obowiazkowe skladki.\noraz ostatnie .Kazdy musi placic skladke ovowiazkowa ale ona po przejsciu na emeryture nie zagwarantuje godnego zycia wiec obywatele Niemiec placa dodatkowo prywatnie skladki na roznego rodzaju polisy i po przejsciu na emeryture moga albo odebrac cala skomulowana sume kupic kampera i pojechac sobie na wycieczke po swiecie albo kupic dom wynajac i miec staly(o ile najemcom nie jest obcokrajowiec) przyplyw gotowki albo wyplaca czesc a reszta rosnie mu grosikami miesiecznie a on patrzy jak kwiatki w ogrodku kwitna i kiedy trzeba przyciac zywoplot.\n\nwiec reasumujac.\ndalismy przez ostarnie 50 lat ciala placąc za niektorych młodych emerytow wyolacajac odszkodowania dla ludzi ktorzy sami chcieli pracowac w takich a nie innych warunkach i zyjac podczas gdy pracowali jak malo kro w polsce . i do tego przeogromna masa kleru ktory nie dosc ze nie placi podatkow to jeszcze korzysta z setek przywilei . \n\nPanie Prezydencie zycze powodzenia w spelnianiu wyborczych obietnic i chcialbym prosic aby byl Pan Prezydentem Polski i Polakow a nie marionetką ktora bedzie sterowana partyjnymi zobowiazaniami";1
171150240;"O tym żeby mordy zanurzyć w koryto PiS marzy od 8 lat!!!!";-1
171150251;"Nie tragizuj. Nic się w Polsce nie skończyło. Teksty typu: \"skończyła się w Polsce demokracja\" świadczą tylko o tym, że ci co je piszą, nie chcą demokracji. Chcą wiecznych rządów ich własnej opcji.";1
171150260;"Coś nie tak - jeszcze nie święty a już mohery go witają -„Habemus presidentem”  , co ja chrzanię prawie święty - uratował /Hostię/ -niby ciało boże.";0
